name,img,rating,review_count,short_desc,long_desc,coordinate,address,price,opening_times
Miya Sushi BBQ Restaurant,https://ak-d.tripcdn.com/images/100j0o000000f632oE42F.jpg,0.0,0,,,"10.7700939, 106.6901159","150/26 Nguyen Trai, Quan 1, TP HCM, Ho Chi Minh City 700000 Vietnam",8.0,Mon to Sun：_10:30-14:00 _17:00-21:30 
Parivar Indian Cuisine,https://ak-d.tripcdn.com/images/100m0g0000007pc472D6B.jpg,0.0,0,,,"10.7775455, 106.7043717","5A Nguyen Sieu Street, Ben Nghe Ward, District 1 Near Mai Linh Taxi Office, Ho Chi Minh City 700000 Vietnam",6.0,Mon to Sun：_10:00-23:00 
Here & Now Vegetarian (Open kitchen & chill),https://ak-d.tripcdn.com/images/100e0g0000007pg9o3848.jpg,0.0,0,,,"10.798405, 106.673836","89E Nguyen Cong Hoan | Ward 7, Phu Nhuan District, Ho Chi Minh City 700000, Vietnam",5.0,Mon to Sun：_10:00-14:00 _17:00-22:00 
Malt Saigon Bar,https://ak-d.tripcdn.com/images/0ww5612000b61s8ls46DE.jpg,0.0,0,,,"10.7754101, 106.7047114","46-48 Mac Thi Buoi, District 1, Ho Chi Minh City 70,000 Vietnam",5.0,Mon to Sun：_15:00-23:59 
Burger King Grand Hotel Restaurant,https://ak-d.tripcdn.com/images/100d0n000000ebcnt2D91.jpg,0.0,0,,,"10.774103, 106.70574","8 Đong Khoi Street, Ben Nghe Ward, District 1 | Inside Grand Hotel, Ho Chi Minh City, Vietnam",4.0,Mon to Sun：_09:00-22:00 
Burger King,https://ak-d.tripcdn.com/images/10060g0000007pf1oF708.jpg,0.0,0,,,"10.76633, 106.69167","141 Bui Vien Pham Ngu Lao, District 1, Ho Chi Minh City Vietnam",3.0,Mon to Sun：_9:00-23:00 
Sahara Beer Club & VIP Lounge,https://ak-d.tripcdn.com/images/1007hk12492mf13w09718.jpg,0.0,0,,,"10.766499, 106.69223","113 Bui Vien Street, District 1 Pham Ngu Lao ward, District 1, Ho Chi Minh City 700000 Vietnam",12.0,Mon to Sun：_00:00-23:59 
Nabe King,https://ak-d.tripcdn.com/images/100l0n000000eehdm1083.jpg,0.0,0,,,"10.932878, 106.71185","01 Binh Duong Boulevard, Binh Giao, Thuan Giao Ward, Thuan An Town Lot E, Second Floor, Aeon Mall Canary, Ho Chi Minh City 700000 Vietnam",9.0,Mon to Sun：_10:00-22:00 
GreenS,https://ak-d.tripcdn.com/images/10060g0000007ptt6766A.jpg,0.0,0,,,"10.77828, 106.69376","18A / 100 Nguyen Thi Minh Khai District 1, Ho Chi Minh City 700000 Vietnam",5.0,Mon to Sun：_09:00-14:30 _17:00-22:00 
Ember,https://ak-d.tripcdn.com/images/100f1d000001e9nv8A000.jpg,4.0,1,,,"10.773077, 106.70127","65 Le Loi 1st Floor, Saigon Centre Building, Ben Nghe Ward, District 1, Ho Chi Minh City 700000 Vietnam",12.0,Mon to Sun：_07:45-22:30 
Dau Homemade,https://ak-d.tripcdn.com/images/1mh0d224x8uk9ftfy20EA.jpg,5.0,1,,,"10.81335, 106.66606","So 6 Hong Ha | Ward 2, Tan Binh District, Ho Chi Minh City 700, Vietnam",3.0,Mon to Sun：_10:00-22:00 
Spice Bistro,https://ak-d.tripcdn.com/images//100915000000xgoyg9352.jpg,4.0,1,,,"10.776886, 106.70608","2 Thi Sach Street | District 1, Ho Chi Minh City 700000, Vietnam",12.0,Mon to Sat：_10:00-18:00 
Sinh to 142,https://ak-d.tripcdn.com/images/100o0n000000ec5wj2E5F.jpg,0.0,0,,,"10.7871151, 106.6846528","142 Ly Chinh Thang St., Dist. 3, Ho Chi Minh City, Ho Chi Minh City, Vietnam",0,Mon to Sun：_8:00-22:00 
Mon Viet,https://ak-d.tripcdn.com/images/100h050000000xpdeC380.jpg,0.0,0,,,"10.773333, 106.69806","148 Le Thanh Ton | District 1, Ho Chi Minh City, Vietnam",4.0,Mon to Sun：_10:00-23:00 
Paceycupcakes,https://ak-d.tripcdn.com/images/01028120008crsuy900BB.jpg,4.5,3,,,"10.77995, 106.700951","53g Nguyen Du street, Ben Nghe ward, district 1, Ho Chi Minh City 084 Vietnam",0,
Lodge Bui Restaurant -Live Music,https://ak-d.tripcdn.com/images/100h0o000000f7uroFF92.jpg,0.0,0,,,"10.78399, 106.69442","39/2 Pham Ngoc Thach Street Ward 6-Dist. 3, Ho Chi Minh City 084 Vietnam",26.0,Mon to Sun：_07:00-23:00 
Nha hang an ngon Loc Phat,https://ak-d.tripcdn.com/images/1me5q12000gmfe47361BD.jpg,0.0,1,,,"10.78806, 106.68859","68B Tran Quoc Toan.Q3, Ho Chi Minh City 70000 Vietnam",0,
Hoang Yen Buffet,https://ak-d.tripcdn.com/images/1001060000001n6uw68FB.jpg,0.0,0,,,"10.78867, 106.709656","Me Linh Point Tower 1st floor, 02 Ngo Duc Ke, D1, Ho Chi Minh City 70000 Vietnam",11.0,Mon to Sun：_10:00-22:00 
Binh An Village Saigon,https://ak-d.tripcdn.com/images/100l060000001n6s9BAC1.jpg,0.0,0,,,"10.817619, 106.721344","1163 Binh Quoi Street, Ho Chi Minh City 70000 Vietnam",21.0,Mon to Sun：_10:00-22:00 
Bonjour Resto' Nguyen Trai,https://ak-d.tripcdn.com/images/1007060000001n6o904AC.jpg,0.0,0,,,"10.77023, 106.68979","150/18 Nguyen Trai, Quan 1, Ho Chi Minh City 70000, Vietnam",5.0,Mon to Sun：_09:00-22:00 
El Sol Meat & Wine,https://ak-d.tripcdn.com/images/100s060000001n6vn6E24.jpg,0.0,0,,,"10.787699, 106.691246","140 Vo Thi Sau st 140/2 District 3, Ho Chi Minh City 700000 Vietnam",26.0,Mon to Sun：_11:00-22:30 
Blanc. Restaurant Saigon,https://ak-d.tripcdn.com/images/0100212000bcv927q50B9.jpg,5.0,11,,,"10.7865182, 106.6947055",Lane 178/180D Hai Ba Trung .Dakao . District 1 .HCMC. Vietnam,29.0,Mon：_Closed all day _Tues to Sun：_17:30-23:00 
Baoz Dimsum,https://ak-d.tripcdn.com/images/100g060000001n6th35EC.jpg,3.5,6,,,"10.7531011, 106.6696548","86-88 Nguyen Tri Phuong Street | Ward 7, District 5, Ho Chi Minh City, Vietnam",11.0,Mon to Sun：_6:30-22:30 
Steak Deli Steakontherock & Cafe,https://ak-d.tripcdn.com/images/100h060000001n6uoB2B1.jpg,3.0,5,,,"10.771763, 106.69316","6/1 Cach Mang Thang 8 Ben Thanh Ward, District 1, Ho Chi Minh City 700000 Vietnam",8.0,Mon to Sun：_07:00-22:30 
Qua Ngon Restaurant,https://ak-d.tripcdn.com/images/1i61p2224sd82u7ow91FB.jpg,0.0,7,,,"10.7968835, 106.6652361","308 306, Le Van Sy Street Ward 1, District Tan Binh, Ho Chi Minh City 700000 Vietnam",28.0,Mon to Sun：_09:00-23:00 
C.ON Global Food Factory,https://ak-d.tripcdn.com/images/10030o000000f8ep71A15.jpg,0.0,0,,,"10.7807529, 106.6902377","23B Ngo Thoi Nhiem, Ward 6, Disc 3, Ho Chi Minh City 700000 Vietnam",4.0,"Mon to Thur,Sun：_06:30-23:00 _Fri to Sat：_06:30-00:00 "
DeciBel Cafe/Lounge,https://ak-d.tripcdn.com/images/100v060000001n6i97A42.jpg,0.0,0,,,"10.78934, 106.70004","79/2/5 Phan Ke Binh, W. Da Kao, District 1, Ho Chi Minh City 70,000 Vietnam",12.0,Mon to Sat：_07:30-00:00 
Acoustic Bar - Ngo Thoi Nhiem,https://ak-d.tripcdn.com/images/0100n12000okha75t7B9C.jpg,5.0,2,,,"10.7811947, 106.6899157","6 E1 Ngo Thoi Nhiem Street Ward 7, District 3, Ho Chi Minh City 70000 Vietnam",14.0,Mon to Sun：_19:00-00:00 
Non La Restaurant,https://ak-d.tripcdn.com/images/100b060000001m02fB3FA.jpg,0.0,0,,,"10.78921, 106.70035","19 Nguyen Dinh Chieu Str.,Dist.1, Ho Chi Minh City 70000, Vietnam",8.0,Mon to Sun：_11:00-23:00 
MON Restaurant & Bar,https://ak-d.tripcdn.com/images/fd/tg/g5/M01/BE/80/CggYsFc6phiANXiKAADoDwTuAR8257.jpg,0.0,0,,,"10.78056, 106.69871","34 Le Duan St. Dist 1, Ho Chi Minh City 70,000 Vietnam",49.0,Mon to Sun：_10:00-10:00 
The Bean Store,https://ak-d.tripcdn.com/images/100e060000001lzss1E8C.jpg,0.0,0,,,"10.7703334, 106.6846537","399 Vo Van Tan, District 3, Ho Chi Minh City, Vietnam, Ho Chi Minh City 70,000 Vietnam",2.0,Mon to Sun：_09:00-22:00 
Izakaya Matsuki 18A Thai Van Lung,https://ak-d.tripcdn.com/images/0103h12000o05lrk54F52.jpg,5.0,1,,,"10.780079, 106.703907","18 Thái Văn Lung, Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Vietnam",14.0,Mon to Sun：_17:00-02:00 
Au Parc,https://ak-d.tripcdn.com/images/100o0g0000007q6x3AC0F.jpg,4.0,7,,,"10.7787276, 106.6980638","p. q. 1, 23 Hàn Thuyên, Bến Nghé, Hồ Chí Minh",12.0,"Mon to Thur,Sun：_7:30-22:30 _Fri to Sat：_7:30-23:00 "
Bánh Xèo Ngọc Sơn,https://ak-d.tripcdn.com/images/0104y12000etvdxou0CD7.jpg,0.0,0,,,"10.7544526, 106.6663377","103 Đ. Ngô Quyền, Phường 11, Quận 5, Thành phố Hồ Chí Minh 700000, Vietnam",0,Mon to Sun：_9:00-21:00 
Canalis Club,https://ak-d.tripcdn.com/images/0102l12000chulihk932F.jpg,5.0,2,An immersive club with spectacular performances to light up your night,,"10.7873557, 106.6868219","264Bis - Nam Kì Khởi Nghĩa, Phường Võ Thị Sáu, Quận 3, Ho Chi Minh City, Vietnam",45.0,Mon：_21:00-03:00 _Tues to Sun：_20:00-03:00 
